Country code,primary,under5,physicians,gni,poverty,paved_roads,urban_pop,sanitation,water,E_primary,H_under5,P_physicians,I_gni,Pov_not,R_roads,U_urban,W_water,S_sanitation,SOL_index
ARG,99.346835,19.719047619047622,2.9817857208785714,6266.666666666667,3.192619047619048,29.438095274425688,33097480.508914284,90.47619047619048,95.66666666666667,0.99346835,0.7727098084417366,1.0,1.0,0.9680738095238095,0.2943809527442569,1.0,0.9566666666666667,0.9047619047619048,0.8773150571359243
CHL,94.00232166666667,11.857142857142858,1.1558467841609876,5346.666666666667,1.3042857142857143,17.9238099143619,13199084.119266666,91.42857142857143,93.71428571428571,0.9400232166666668,0.8633294911905154,0.3876357633842387,1.0,0.9869571428571429,0.179238099143619,1.0,0.937142857142857,0.9142857142857143,0.8110288638599347
COL,91.69322047619048,27.204761904761902,1.2281190473952381,2711.904761904762,14.061904761904762,13.319047292073591,28686217.441628568,71.71428571428571,90.71428571428571,0.9169322047619047,0.686426258301773,0.4118736765005963,1.0,0.8593809523809524,0.1331904729207359,1.0,0.907142857142857,0.7171428571428571,0.7433768510683516
IDN,98.40748833333335,56.099999999999994,0.1759380937857143,1074.7619047619048,37.50333333333334,54.02655205654723,90637424.57813333,43.476190476190474,76.57142857142857,0.9840748833333335,0.3533673637411495,0.05900427135115357,1.0,0.6249666666666667,0.5402655205654723,1.0,0.7657142857142857,0.43476190476190474,0.6430876019671208
IND,79.20029214285714,86.75714285714287,0.5321714249428572,598.5714285714286,45.3352380952381,50.29866592883044,282036016.06248564,24.761904761904763,80.61904761904762,0.7920029214285713,0.0,0.17847406713922254,1.0,0.546647619047619,0.5029866592883043,1.0,0.8061904761904762,0.24761904761904763,0.5469922251427526
MEX,97.39800642857142,30.523809523809526,1.930047619047619,5732.857142857143,7.204047619047619,34.07476159596003,74453929.92138095,76.47619047619048,90.14285714285714,0.9739800642857142,0.6481694933860256,0.6472791138321429,1.0,0.9279595238095238,0.3407476159596003,1.0,0.9014285714285714,0.7647619047619049,0.8015401066299354
MYS,94.07343,11.138095238095238,0.6728714283428572,4433.333333333333,0.8261904761904763,77.49725249236839,14611731.600266667,91.42857142857143,95.66666666666667,0.9407343,0.8716175421263517,0.2256605575750756,1.0,0.9917380952380952,0.7749725249236838,1.0,0.9566666666666667,0.9142857142857143,0.8581851321878764
POL,96.78880190476191,10.704761904761906,2.225095238095238,5600.952380952381,0.6288095238095238,66.41885854385322,23569573.223885715,90.0,100.0,0.9678880190476191,0.8766123277896701,0.7462290876621483,1.0,0.9937119047619047,0.6641885854385322,1.0,1.0,0.9,0.9070880098118519
ROM,93.27992523809523,26.18095238095238,1.8625476185761907,3089.5238095238096,1.8864285714285711,43.295238313219805,11945368.247971429,71.85714285714286,,0.9327992523809523,0.6982271255282947,0.6246416721143189,1.0,0.9811357142857143,0.432952383132198,1.0,,0.7185714285714286,
TUR,91.15029666666666,45.43333333333334,1.2665,4758.571428571428,2.354047619047619,29.714285714285715,41219995.53006667,87.04761904761905,92.80952380952381,0.9115029666666666,0.4763159339151436,0.4247454775612886,1.0,0.9764595238095238,0.29714285714285715,1.0,0.9280952380952381,0.8704761904761905,0.7578647637957813
